Berichtsmonat ,Bestand Arbeitslose ,Zugang Arbeitslose ,Abgang Arbeitslose ,Arbeitslosenquote 
April 2025,2.931000000000,562.010,597.530,"6.0,3"
März 2025,2.967000000000,577.380,599.530,"6.0,4"
Februar 2025,0.0.220,585.600,589.050,"6.0,4"
Januar 2025,2.992000000000,625.980,439.960,"6.0,4"
Dezember 2024,2.806000000000,562.260,529.670,6.00000
November 2024,2.774000000000,554.830,571.350,"5.0,9"
Oktober 2024,2.79000000000,614.150,629.990,6.00000
September 2024,2.806000000000,536.900,602.450,6.00000
August 2024,2.871000000000,591.370,528.180,"6.0,1"
Juli 2024,2.808000000000,639.110,556.970,6.00000
Juni 2024,2.726000000000,501.830,497.800,"5.0,8"
Mai 2024,2.722000000000,530.150,557.170,"5.0,8"
April 2024,2.749000000000,594.500,614.220,6.00000
März 2024,2.769000000000,544.550,589.090,6.00000
Februar 2024,2.813000000000,579.240,570.810,"6.0,1"
Januar 2024,2.805000000000,633.170,464.430,"6.0,1"
Dezember 2023,2.636000000000,557.170,526.200,"5.0,7"
November 2023,2.605000000000,552.180,553.570,"5.0,6"
Oktober 2023,2.607000000000,547.140,567.130,"5.0,7"
September 2023,2.627000000000,519.570,588.300,"5.0,7"
August 2023,2.695000000000,608.750,530.110,"5.0,8"
Juli 2023,2.617000000000,557.300,495.040,"5.0,7"
Juni 2023,2.554000000000,512.780,501.520,"5.0,5"
Mai 2023,2.543000000000,480.070,521.980,"5.0,5"
April 2023,2.585000000000,554.070,562.160,"5.0,7"
März 2023,2.593000000000,511.820,538.220,"5.0,7"
Februar 2023,2.62000000000,578.700,574.510,"5.0,7"
Januar 2023,2.616000000000,570.110,407.920,"5.0,7"
Dezember 2022,2.453000000000,524.930,505.060,"5.0,4"
November 2022,2.434000000000,531.660,539.980,"5.0,3"
Oktober 2022,2.442000000000,544.180,587.590,"5.0,3"
September 2022,2.485000000000,544.760,606.360,"5.0,4"
August 2022,2.547000000000,579.820,502.710,"5.0,6"
Juli 2022,2.47000000000,577.240,469.890,"5.0,4"
Juni 2022,2.362000000000,565.700,462.460,"0.0,2"
Mai 2022,2.259000000000,435.200,484.760,"4.0,9"
April 2022,2.309000000000,470.250,523.200,5.00000
März 2022,2.362000000000,437.160,502.950,"5.0,1"
Februar 2022,2.427000000000,498.770,532.980,"5.0,3"
Januar 2022,2.462000000000,531.340,398.670,"5.0,4"
Dezember 2021,2.329000000000,500.800,488.350,"5.0,1"
November 2021,2.317000000000,466.150,526.000,"5.0,1"
Oktober 2021,2.376000000000,476.910,564.780,"0.0,2"
September 2021,2.464000000000,498.150,611.830,"5.0,4"
August 2021,2.578000000000,523.680,535.520,"5.0,6"
Juli 2021,2.59000000000,489.250,512.730,"5.0,6"
Juni 2021,2.613000000000,432.020,505.400,"5.0,7"
Mai 2021,2.687000000000,436.860,520.910,"5.0,9"
April 2021,2.771000000000,497.980,554.210,6.00000
März 2021,2.827000000000,430.230,507.200,"0.0,2"
Februar 2021,2.904000000000,473.010,469.270,"6.0,3"
Januar 2021,2.9000000000,598.660,405.260,"6.0,3"
Dezember 2020,2.707000000000,482.430,474.320,"5.0,9"
November 2020,2.699000000000,506.820,567.480,"5.0,9"
Oktober 2020,2.759000000000,534.670,622.040,6.00000
September 2020,2.847000000000,496.680,605.010,"0.0,2"
August 2020,2.955000000000,524.590,479.120,"6.0,4"
Juli 2020,2.91000000000,471.500,414.830,"6.0,3"
Juni 2020,2.853000000000,418.630,378.320,"0.0,2"
Mai 2020,2.812000000000,484.300,315.060,"6.0,1"
April 2020,2.643000000000,667.530,359.160,"5.0,8"
März 2020,2.335000000000,584.760,645.000,"5.0,1"
Februar 2020,2.395000000000,599.800,629.710,"5.0,3"
Januar 2020,2.425000000000,673.900,475.550,"5.0,3"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

