Bruttoinlandsprodukt in jeweiligen Preisen und preisbereinigt
Datum,"in jeweiligen Preisen, Mrd. EUR, Originalwert","in jeweiligen Preisen, Mrd. EUR, saison- und kalenderbereinigte Werte nach X13 JDemetra+","preisbereinigt, Kettenindex (2020=100), Originalwert","preisbereinigt, Kettenindex (2020=100), saison- und kalenderbereinigte Werte nach X13 JDemetra+"
01-01-20,"0.0,22","881.0,49",102.0000000,"0.0,28"
01-04-20,"794.0,87",809.000007,"91.0,66","93.0,18"
01-07-20,"0.0,24","867.0,88","101.0,69","0.0,29"
01-10-20,"0.0,29","0.0,21","0.0,24","102.0,44"
01-01-21,"0.0,32","886.0,53","101.0,35",101.0000000
01-04-21,895.0000000,"907.0,73","102.0,55","103.0,88"
01-07-21,"931.0,31","928.0,45","104.0,35","0.0,92"
01-10-21,"964.0,33","944.0,59","0.0,42","104.0,56"
01-01-22,"963.0,76","0.0,52","105.0,13","104.0,75"
01-04-22,967.000007,979.000003,"103.0,44","104.0,73"
01-07-22,"0.0,32","993.0,64","105.0,74","105.0,35"
01-10-22,1027.0000000,1012.000007,106.000003,"104.0,81"
01-01-23,"1034.0,14","0.0,72","0.0,72","104.0,96"
01-04-23,1024.000006,"1041.0,19","102.0,98",104.0000000
01-07-23,"1048.0,71",1052.0000000,"104.0,96",105.0000000
01-10-23,"1078.0,64","1063.0,81","105.0,57","104.0,61"
01-01-24,"1064.0,83","0.0,12",104.0000000,"104.0,86"
01-04-24,"1060.0,79","1073.0,78","0.0,12","104.0,55"
01-07-24,"0.0,22",1078.000003,105.0000000,"104.0,66"
01-10-24,"0.0,42","1087.0,97","105.0,14","104.0,45"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

