DATE,TIME PERIOD,"Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA)"
01-31-20,2020.0Jan,-0.3911
02-29-20,2020.0Feb,-0.4089
03-31-20,2020.0Mar,-0.4166
04-30-20,2020.0Apr,-0.2541
05-31-20,2020.0May,-0.2720
06-30-20,2020.0Jun,-0.3760
07-31-20,2020.0Jul,-0.4441
08-31-20,2020.0Aug,-0.4797
09-30-20,2020.0Sep,-0.4914
10-31-20,2020.0Oct,-0.5091
11-30-20,2020.0Nov,-0.5209
12-31-20,2020.0Dec,-0.5381
01-31-21,2021.0Jan,-0.5472
02-28-21,2021.0Feb,-0.5411
03-31-21,2021.0Mar,-0.5391
04-30-21,2021.0Apr,-0.5382
05-31-21,2021.0May,-0.5401
06-30-21,2021.0Jun,-0.5429
07-31-21,2021.0Jul,-0.5448
08-31-21,2021.0Aug,-0.5476
09-30-21,2021.0Sep,-0.5450
10-31-21,2021.0Oct,-0.5498
11-30-21,2021.0Nov,-0.5674
12-31-21,2021.0Dec,-0.5820
01-31-22,2022.0Jan,-0.5601
02-28-22,2022.0Feb,-0.5315
03-31-22,2022.0Mar,-0.4954
04-30-22,2022.0Apr,-0.4479
05-31-22,2022.0May,-0.3857
06-30-22,2022.0Jun,-0.2392
07-31-22,2022.0Jul,0.0366
08-31-22,2022.0Aug,0.3947
09-30-22,2022.0Sep,1.0109
10-31-22,2022.0Oct,1.4277
11-30-22,2022.0Nov,1.8252
12-31-22,2022.0Dec,2.0635
01-31-23,2023.0Jan,2.3449
02-28-23,2023.0Feb,2.6403
03-31-23,2023.0Mar,2.9106
04-30-23,2023.0Apr,3.1670
05-31-23,2023.0May,3.3664
06-30-23,2023.0Jun,3.5359
07-31-23,2023.0Jul,3.6718
08-31-23,2023.0Aug,3.7803
09-30-23,2023.0Sep,3.8800
10-31-23,2023.0Oct,3.9676
11-30-23,2023.0Nov,3.9716
12-31-23,2023.0Dec,3.9331
01-31-24,2024.0Jan,3.9253
02-29-24,2024.0Feb,3.9232
03-31-24,2024.0Mar,3.9224
04-30-24,2024.0Apr,3.8864
05-31-24,2024.0May,3.8137
06-30-24,2024.0Jun,3.7245
07-31-24,2024.0Jul,3.6848
08-31-24,2024.0Aug,3.5476
09-30-24,2024.0Sep,3.4337
10-31-24,2024.0Oct,3.1666
11-30-24,2024.0Nov,3.0068
12-31-24,2024.0Dec,2.8161
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,

