DATE,BMW Finanzierung,BMW Leasing,Auto Finanzierung,Auto Leasing,Gebrauchtwagenindex,EURIBOR 3M, Geschäftsklima,Geschäftslage,Geschäftserwartungen,Verbraucherpreisindex,Arbeitslosenquote ,Bestand Arbeitslose,Zugang Arbeitslose,Abgang Arbeitslose,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
2020-01-31,57.0,76.75,62.5,39.0,118.6,-0.3911,96.0,99.6,92.5,99.8,5.3,2425520.0,673900.0,475550.0,4.561290322580645,-2.7,13.4,49.0,229.7741935483871,15.341935483870968,59.3,1021.0903225806452
2020-02-29,60.25,76.5,65.25,40.25,119.5,-0.4089,95.9,99.0,93.0,100.1,5.3,2395600.0,599800.0,629710.0,6.282758620689655,0.8,14.4,89.2,241.89655172413796,19.841379310344827,77.8,1009.951724137931
2020-03-31,42.4,53.2,45.4,27.2,119.4,-0.4166,86.2,92.9,80.0,100.3,5.1,2335370.0,584760.0,645000.0,5.719354838709678,-4.0,16.8,47.6,206.0967741935484,15.34516129032258,79.6,1017.7645161290322
2020-04-30,60.0,61.5,48.5,29.5,116.1,-0.2541,75.0,79.3,71.0,100.4,5.8,2643740.0,667530.0,359160.0,10.7,-2.0,23.0,7.7,202.03333333333333,13.52,50.0,1018.4566666666668
2020-05-31,84.0,77.4,70.4,39.4,114.7,-0.272,79.5,78.6,80.5,100.4,6.1,2812990.0,484300.0,315060.0,12.293548387096775,0.6,24.1,26.9,233.83870967741936,13.419354838709678,46.3,1019.3290322580646
2020-06-30,68.25,86.0,65.5,47.5,116.0,-0.376,85.4,80.9,90.1,100.5,6.2,2853310.0,418630.0,378320.0,18.76,9.0,29.8,53.3,168.5,12.653333333333334,50.0,1012.6866666666666
2020-07-31,68.75,86.0,69.25,49.0,120.5,-0.4441,89.4,84.3,94.9,99.7,6.3,2910010.0,471500.0,414830.0,17.98709677419355,9.8,28.3,46.7,252.32258064516128,12.058064516129033,59.3,1015.3451612903226
2020-08-31,66.4,80.6,62.0,46.0,124.1,-0.4797,92.1,87.7,96.8,99.7,6.4,2955490.0,524590.0,479120.0,21.154838709677417,11.4,34.6,37.5,180.70967741935485,11.896774193548389,66.7,1013.2806451612904
2020-09-30,66.0,79.25,68.75,45.25,126.4,-0.4914,93.5,89.5,97.7,99.7,6.2,2847150.0,496680.0,605010.0,15.42,5.9,30.3,44.8,204.16666666666663,10.916666666666666,50.0,1016.4866666666666
2020-10-31,55.25,73.5,53.0,41.0,127.2,-0.5091,93.0,90.5,95.5,99.9,6.0,2759780.0,534670.0,622040.0,11.112903225806452,3.8,21.7,70.0,191.1290322580645,13.651612903225804,53.7,1011.4548387096772
2020-11-30,58.4,67.0,53.6,38.6,125.4,-0.5209,91.7,90.3,93.0,99.7,5.9,2699130.0,506820.0,567480.0,7.193333333333333,0.5,18.8,10.3,207.83333333333331,12.893333333333334,53.7,1023.1733333333334
2020-12-31,49.75,62.75,40.0,30.0,124.6,-0.5381,93.1,91.8,94.5,99.8,5.9,2707240.0,482430.0,474320.0,3.541935483870968,-2.5,11.9,26.3,161.90322580645162,14.129032258064516,53.7,1009.241935483871
2021-01-31,45.4,66.8,49.2,38.2,122.3,-0.5472,90.6,89.6,91.5,101.0,6.3,2900660.0,598660.0,405260.0,0.9483870967741936,-5.6,11.4,63.5,220.5483870967742,13.261290322580646,53.7,1009.9741935483872
2021-02-28,60.25,71.75,56.25,44.5,123.3,-0.5411,92.7,91.1,94.4,101.6,6.3,2904410.0,473010.0,469270.0,1.3964285714285716,-12.7,19.2,44.4,204.89285714285717,13.05,61.1,1020.7285714285716
2021-03-31,65.5,75.5,62.25,45.25,126.0,-0.5391,96.1,93.3,99.0,102.1,6.2,2827450.0,430230.0,507200.0,5.361290322580645,-3.7,23.5,39.5,236.16129032258064,13.567741935483872,61.1,1019.767741935484
2021-04-30,46.25,70.25,57.5,46.5,130.6,-0.5382,96.0,94.2,97.8,102.4,6.0,2771230.0,497980.0,554210.0,6.8133333333333335,-1.3,18.8,26.8,254.63333333333333,14.51,64.8,1017.58
2021-05-31,54.0,63.8,56.0,45.2,133.5,-0.5401,98.3,95.7,100.9,102.6,5.9,2687190.0,436860.0,520910.0,12.03225806451613,3.1,28.8,61.6,222.58064516129036,14.290322580645162,64.8,1010.9129032258064
2021-06-30,51.75,62.0,59.25,45.75,135.1,-0.5429,101.0,99.8,102.2,102.9,5.7,2613830.0,432020.0,505400.0,20.65,9.4,34.9,40.7,232.63333333333333,11.316666666666666,48.2,1017.04
2021-07-31,67.25,72.0,62.5,53.0,136.5,-0.5448,100.8,100.6,101.0,103.4,5.6,2590310.0,489250.0,512730.0,20.25483870967742,12.2,29.3,91.4,224.83870967741936,11.812903225806451,53.7,1013.9032258064516
2021-08-31,60.8,71.8,61.6,56.2,139.1,-0.5476,100.2,101.7,98.7,103.5,5.6,2578470.0,523680.0,535520.0,17.141935483870967,9.1,29.2,112.2,221.80645161290323,12.293548387096775,63.0,1014.1774193548388
2021-09-30,57.75,83.25,61.0,60.0,144.6,-0.545,100.1,100.9,99.2,103.8,5.4,2464790.0,498150.0,611830.0,15.626666666666669,7.7,26.0,20.7,218.56666666666663,11.623333333333331,53.7,1018.61
2021-10-31,45.6,77.2,61.8,63.8,150.6,-0.5498,98.8,100.6,97.1,104.3,0.2,2376930.0,476910.0,564780.0,10.035483870967743,1.4,21.2,26.5,197.48387096774192,14.325806451612904,74.1,1018.2354838709678
2021-11-30,52.0,61.25,43.75,46.25,156.6,-0.5674,97.2,99.5,95.0,104.5,5.1,2317070.0,466150.0,526000.0,5.993333333333334,0.1,11.8,66.7,207.66666666666663,13.37,63.0,1014.45
2021-12-31,43.5,66.5,49.5,47.75,160.8,-0.582,95.2,97.3,93.1,104.7,5.1,2329530.0,500800.0,488350.0,1.9193548387096773,-9.9,12.4,47.6,210.74193548387095,13.40967741935484,75.9,1014.2290322580644
2022-01-31,63.4,77.6,67.2,58.8,161.0,-0.5601,96.0,96.7,95.4,105.2,5.4,2462160.0,531340.0,398670.0,3.458064516129032,-3.1,11.7,37.2,247.4193548387097,16.67096774193548,85.2,1020.074193548387
2022-02-28,58.0,73.5,65.5,58.0,160.9,-0.5315,98.6,99.0,98.1,106.0,5.3,2427960.0,498770.0,532980.0,5.05,-2.1,11.7,73.4,237.75,20.482142857142858,85.2,1012.8464285714286
2022-03-31,59.25,68.5,65.5,76.0,160.3,-0.4954,89.9,97.2,83.2,108.1,5.1,2362160.0,437160.0,502950.0,5.525806451612904,-3.5,17.6,2.4,144.74193548387098,12.76774193548387,51.8,1027.3096774193548
2022-04-30,50.5,58.25,58.5,53.0,162.6,-0.4479,91.2,97.4,85.5,108.8,5.0,2309210.0,470250.0,523200.0,8.49,-2.6,20.9,32.0,161.46666666666667,15.27,70.4,1014.4133333333334
2022-05-31,46.4,54.2,58.4,48.0,165.4,-0.3857,92.3,99.6,85.6,109.8,4.9,2259650.0,435200.0,484760.0,15.167741935483871,6.5,29.1,20.2,223.58064516129036,13.470967741935484,61.1,1017.4967741935484
2022-06-30,55.25,49.25,65.5,48.0,169.5,-0.2392,92.1,99.4,85.4,109.8,6.2,2362890.0,565700.0,462460.0,20.477777777777774,9.2,33.9,0.0,184.33333333333331,11.816666666666666,46.3,1015.061111111111
2022-07-31,48.4,48.8,61.0,45.4,171.6,0.0366,88.7,97.9,80.4,110.3,5.4,2470240.0,577240.0,469890.0,19.44193548387097,9.9,37.3,0.0,257.80645161290323,12.816129032258065,51.8,1018.6096774193549
