DATE,Absatzzahlen
2020-01-31,19680
2020-02-29,14847
2020-03-31,20717
2020-04-30,10346
2020-05-31,13928
2020-06-30,18928
2020-07-31,19776
2020-08-31,22167
2020-09-30,19474
2020-10-31,18833
2020-11-30,22937
2020-12-31,20131
2021-01-31,15323
2021-02-28,13460
2021-03-31,21621
2021-04-30,19380
2021-05-31,21005
2021-06-30,20408
2021-07-31,18452
2021-08-31,19670
2021-09-30,15529
2021-10-31,16039
2021-11-30,20302
2021-12-31,17244
2022-01-31,17144
2022-02-28,14046
2022-03-31,16042
2022-04-30,14303
2022-05-31,18958
2022-06-30,15566
2022-07-31,15585
2022-08-31,17752
2022-09-30,13312
2022-10-31,16395
2022-11-30,15517
2022-12-31,16783
2023-01-31,13979
2023-02-28,11246
2023-03-31,13733
2023-04-30,12680
2023-05-31,14974
2023-06-30,14842
2023-07-31,19214
2023-08-31,14615
2023-09-30,13689
2023-10-31,16486
2023-11-30,15358
2023-12-31,19383
2024-01-31,16805
2024-02-29,12075
2024-03-31,15090
2024-04-30,18184
2024-05-31,13268
2024-06-30,16552
2024-07-31,19781
2024-08-31,13502
2024-09-30,17554
2024-10-31,13857
2024-11-30,15193
2024-12-31,19213
