DATE,BMW Finanzierung,BMW Leasing,Auto Finanzierung,Auto Leasing
2020-01-31,57.0,76.75,62.5,39.0
2020-02-29,60.25,76.5,65.25,40.25
2020-03-31,42.4,53.2,45.4,27.2
2020-04-30,60.0,61.5,48.5,29.5
2020-05-31,84.0,77.4,70.4,39.4
2020-06-30,68.25,86.0,65.5,47.5
2020-07-31,68.75,86.0,69.25,49.0
2020-08-31,66.4,80.6,62.0,46.0
2020-09-30,66.0,79.25,68.75,45.25
2020-10-31,55.25,73.5,53.0,41.0
2020-11-30,58.4,67.0,53.6,38.6
2020-12-31,49.75,62.75,40.0,30.0
2021-01-31,45.4,66.8,49.2,38.2
2021-02-28,60.25,71.75,56.25,44.5
2021-03-31,65.5,75.5,62.25,45.25
2021-04-30,46.25,70.25,57.5,46.5
2021-05-31,54.0,63.8,56.0,45.2
2021-06-30,51.75,62.0,59.25,45.75
2021-07-31,67.25,72.0,62.5,53.0
2021-08-31,60.8,71.8,61.6,56.2
2021-09-30,57.75,83.25,61.0,60.0
2021-10-31,45.6,77.2,61.8,63.8
2021-11-30,52.0,61.25,43.75,46.25
2021-12-31,43.5,66.5,49.5,47.75
2022-01-31,63.4,77.6,67.2,58.8
2022-02-28,58.0,73.5,65.5,58.0
2022-03-31,59.25,68.5,65.5,76.0
2022-04-30,50.5,58.25,58.5,53.0
2022-05-31,46.4,54.2,58.4,48.0
2022-06-30,55.25,49.25,65.5,48.0
2022-07-31,48.4,48.8,61.0,45.4
2022-08-31,44.5,50.25,65.5,46.25
2022-09-30,47.5,47.5,62.5,45.25
2022-10-31,54.0,48.2,65.6,43.4
2022-11-30,47.25,42.0,59.75,39.5
2022-12-31,51.5,41.25,57.0,38.75
2023-01-31,58.6,51.2,72.8,47.2
2023-02-28,57.25,55.0,79.75,46.5
2023-03-31,70.25,55.5,77.75,49.25
2023-04-30,55.4,51.4,76.6,49.4
2023-05-31,71.25,52.0,76.0,45.25
2023-06-30,65.5,49.0,73.75,45.25
2023-07-31,60.8,49.4,80.2,48.2
2023-08-31,62.75,55.0,77.0,51.5
2023-09-30,57.0,61.75,80.75,69.75
2023-10-31,62.0,58.2,77.2,53.4
2023-11-30,52.0,50.25,71.5,53.25
2023-12-31,62.0,50.6,68.4,47.2
2024-01-31,64.25,62.0,89.75,57.0
2024-02-29,81.25,64.25,93.75,56.25
2024-03-31,76.6,65.6,88.4,54.6
2024-04-30,72.75,64.5,84.5,50.75
2024-05-31,68.75,61.0,73.0,48.0
2024-06-30,58.0,58.2,76.4,46.6
2024-07-31,69.25,59.5,79.5,48.25
2024-08-31,75.25,63.0,85.75,52.0
2024-09-30,64.0,63.6,80.4,54.0
2024-10-31,74.5,67.5,85.25,52.5
2024-11-30,47.75,61.25,83.0,50.25
2024-12-31,69.8,56.0,69.2,45.4
