DATE,Verbraucherpreisindex
2020-01-31,99.8
2020-02-29,100.1
2020-03-31,100.3
2020-04-30,100.4
2020-05-31,100.4
2020-06-30,100.5
2020-07-31,99.7
2020-08-31,99.7
2020-09-30,99.7
2020-10-31,99.9
2020-11-30,99.7
2020-12-31,99.8
2021-01-31,101.0
2021-02-28,101.6
2021-03-31,102.1
2021-04-30,102.4
2021-05-31,102.6
2021-06-30,102.9
2021-07-31,103.4
2021-08-31,103.5
2021-09-30,103.8
2021-10-31,104.3
2021-11-30,104.5
2021-12-31,104.7
2022-01-31,105.2
2022-02-28,106.0
2022-03-31,108.1
2022-04-30,108.8
2022-05-31,109.8
2022-06-30,109.8
2022-07-31,110.3
2022-08-31,110.7
2022-09-30,112.7
2022-10-31,113.5
2022-11-30,113.7
2022-12-31,113.2
2023-01-31,114.3
2023-02-28,115.2
2023-03-31,116.1
2023-04-30,116.6
2023-05-31,116.5
2023-06-30,116.8
2023-07-31,117.1
2023-08-31,117.5
2023-09-30,117.8
2023-10-31,117.8
2023-11-30,117.3
2023-12-31,117.4
2024-01-31,117.6
2024-02-29,118.1
2024-03-31,118.6
2024-04-30,119.2
2024-05-31,119.3
2024-06-30,119.4
2024-07-31,119.8
2024-08-31,119.7
2024-09-30,119.7
2024-10-31,120.2
2024-11-30,119.9
2024-12-31,120.5
