Bruttoinlandsprodukt in jeweiligen Preisen und preisbereinigt
Datum;in jeweiligen Preisen, Mrd. EUR, Originalwert;in jeweiligen Preisen, Mrd. EUR, saison- und kalenderbereinigte Werte nach X13 JDemetra+;preisbereinigt, Kettenindex (2020=100), Originalwert;preisbereinigt, Kettenindex (2020=100), saison- und kalenderbereinigte Werte nach X13 JDemetra+
01/01/2020;881,22;881,49;102,40;102,28
01/04/2020;794,87;809,07;91,66;93,18
01/07/2020;871,24;867,88;101,69;101,29
01/10/2020;902,29;884,21;104,24;102,44
01/01/2021;885,32;886,53;101,35;101,30
01/04/2021;895,50;907,73;102,55;103,88
01/07/2021;931,31;928,45;104,35;103,92
01/10/2021;964,33;944,59;106,42;104,56
01/01/2022;963,76;962,52;105,13;104,75
01/04/2022;967,07;979,03;103,44;104,73
01/07/2022;995,32;993,64;105,74;105,35
01/10/2022;1027,70;1012,07;106,03;104,81
01/01/2023;1034,14;1029,72;105,72;104,96
01/04/2023;1024,06;1041,19;102,98;104,80
01/07/2023;1048,71;1052,40;104,96;105,00
01/10/2023;1078,64;1063,81;105,57;104,61
01/01/2024;1064,83;1068,12;104,90;104,86
01/04/2024;1060,79;1073,78;103,12;104,55
01/07/2024;1078,22;1078,03;105,10;104,66
01/10/2024;1101,42;1087,97;105,14;104,45
