DATE,Gebrauchtwagenindex
01-31-20,118.60
02-29-20,119.50
03-31-20,119.40
04-30-20,116.10
05-31-20,114.70
06-30-20,116.00
07-31-20,120.50
08-31-20,124.10
09-30-20,126.40
10-31-20,127.20
11-30-20,125.40
12-31-20,124.60
01-31-21,122.30
02-28-21,123.30
03-31-21,126.00
04-30-21,130.60
05-31-21,133.50
06-30-21,135.10
07-31-21,136.50
08-31-21,139.10
09-30-21,144.60
10-31-21,150.60
11-30-21,156.60
12-31-21,160.80
01-31-22,161.00
02-28-22,160.90
03-31-22,160.30
04-30-22,162.60
05-31-22,165.40
06-30-22,169.50
07-31-22,171.60
08-31-22,170.80
09-30-22,168.30
10-31-22,163.20
11-30-22,156.70
12-31-22,151.30
01-31-23,149.30
02-28-23,149.10
03-31-23,150.90
04-30-23,148.70
05-31-23,148.30
06-30-23,152.20
07-31-23,148.20
08-31-23,147.40
09-30-23,148.00
10-31-23,147.80
11-30-23,146.60
12-31-23,146.90
01-31-24,142.00
02-29-24,141.20
03-31-24,137.30
04-30-24,138.00
05-31-24,137.90
06-30-24,138.20
07-31-24,137.00
08-31-24,137.30
09-30-24,136.80
10-31-24,136.90
11-30-24,137.20
12-31-24,137.30
