DATE,BMW Finanzierung,BMW Leasing,Auto Finanzierung,Auto Leasing
12-29-19,72,67,55,32
01-05-20,57,69,57,37
01-12-20,54,73,64,40
01-19-20,65,82,68,39
01-26-20,52,83,61,40
02-02-20,68,77,65,40
02-09-20,65,80,66,41
02-16-20,62,77,66,41
02-23-20,46,72,64,39
03-01-20,48,77,54,38
03-08-20,65,63,58,34
03-15-20,19,45,39,21
03-22-20,40,34,32,19
03-29-20,40,47,44,24
04-05-20,55,58,44,25
04-12-20,58,59,47,28
04-19-20,68,63,47,32
04-26-20,59,66,56,33
05-03-20,79,63,65,34
05-10-20,74,77,66,38
05-17-20,91,78,70,40
05-24-20,93,82,75,39
05-31-20,83,87,76,46
06-07-20,74,86,72,47
06-14-20,76,87,59,52
06-21-20,60,83,57,46
06-28-20,63,88,74,45
07-05-20,59,81,78,45
07-12-20,80,100,67,53
07-19-20,72,83,72,51
07-26-20,64,80,60,47
08-02-20,78,78,61,46
08-09-20,71,78,55,43
08-16-20,59,78,62,48
08-23-20,73,89,67,48
08-30-20,51,80,65,45
09-06-20,75,78,75,49
09-13-20,66,83,70,46
09-20-20,51,79,72,43
09-27-20,72,77,58,43
10-04-20,52,73,52,42
10-11-20,54,84,54,44
10-18-20,65,71,61,41
10-25-20,50,66,45,37
11-01-20,47,66,51,37
11-08-20,77,72,67,42
11-15-20,61,72,54,39
11-22-20,60,63,56,40
11-29-20,47,62,40,35
12-06-20,48,67,44,30
12-13-20,51,56,35,26
12-20-20,49,62,43,30
12-27-20,51,66,38,34
01-03-21,23,67,45,39
01-10-21,60,60,42,37
01-17-21,49,66,51,36
01-24-21,40,71,53,39
01-31-21,55,70,55,40
02-07-21,48,60,50,36
02-14-21,64,76,56,44
02-21-21,54,75,62,45
02-28-21,75,76,57,53
03-07-21,67,77,62,45
03-14-21,71,74,66,48
03-21-21,62,76,63,45
03-28-21,62,75,58,43
04-04-21,40,72,54,50
04-11-21,45,70,59,46
04-18-21,44,68,61,47
04-25-21,56,71,56,43
05-02-21,62,65,59,43
05-09-21,56,68,56,49
05-16-21,45,64,51,47
05-23-21,44,59,57,44
05-30-21,63,63,57,43
06-06-21,51,62,61,44
06-13-21,52,60,58,42
06-20-21,53,64,59,48
06-27-21,51,62,59,49
07-04-21,71,72,58,52
07-11-21,80,73,70,53
07-18-21,52,76,63,52
07-25-21,66,67,59,55
08-01-21,73,75,55,53
08-08-21,52,70,61,55
08-15-21,52,66,55,58
08-22-21,49,73,72,57
08-29-21,78,75,65,58
09-05-21,59,84,67,63
09-12-21,68,83,61,56
09-19-21,59,79,64,62
09-26-21,45,87,52,59
10-03-21,43,76,52,59
10-10-21,48,81,69,68
10-17-21,52,81,66,64
10-24-21,55,74,58,67
10-31-21,30,74,64,61
11-07-21,67,72,57,56
11-14-21,58,63,35,45
11-21-21,44,54,41,43
11-28-21,39,56,42,41
12-05-21,44,59,45,44
12-12-21,37,65,52,47
12-19-21,46,66,49,45
12-26-21,47,76,52,55
01-02-22,64,72,79,56
01-09-22,52,81,64,61
01-16-22,100,77,68,57
01-23-22,54,84,67,60
01-30-22,47,74,58,60
02-06-22,61,82,66,61
02-13-22,56,77,67,60
02-20-22,58,68,69,52
02-27-22,57,67,60,59
03-06-22,75,75,70,100
03-13-22,42,65,64,80
03-20-22,57,75,65,65
03-27-22,63,59,63,59
04-03-22,46,57,55,56
