Datum,Verbraucherpreisindex
01-01-20,"99.0,8"
01-02-20,"100.0,1"
01-03-20,"100.0,3"
01-04-20,"100.0,4"
01-05-20,"100.0,4"
01-06-20,"100.0,5"
01-07-20,"99.0,7"
01-08-20,"99.0,7"
01-09-20,"99.0,7"
01-10-20,"99.0,9"
01-11-20,"99.0,7"
01-12-20,"99.0,8"
01-01-21,101.00000
01-02-21,"101.0,6"
01-03-21,"102.0,1"
01-04-21,"102.0,4"
01-05-21,"102.0,6"
01-06-21,"102.0,9"
01-07-21,"103.0,4"
01-08-21,"103.0,5"
01-09-21,"103.0,8"
01-10-21,"104.0,3"
01-11-21,"104.0,5"
01-12-21,"104.0,7"
01-01-22,"0.0,2"
01-02-22,106.00000
01-03-22,"108.0,1"
01-04-22,"108.0,8"
01-05-22,"109.0,8"
01-06-22,"109.0,8"
01-07-22,"110.0,3"
01-08-22,"110.0,7"
01-09-22,"112.0,7"
01-10-22,"113.0,5"
01-11-22,"113.0,7"
01-12-22,"0.0,2"
01-01-23,"114.0,3"
01-02-23,"0.0,2"
01-03-23,"116.0,1"
01-04-23,"116.0,6"
01-05-23,"116.0,5"
01-06-23,"116.0,8"
01-07-23,"117.0,1"
01-08-23,"117.0,5"
01-09-23,"117.0,8"
01-10-23,"117.0,8"
01-11-23,"117.0,3"
01-12-23,"117.0,4"
01-01-24,"117.0,6"
01-02-24,"118.0,1"
01-03-24,"118.0,6"
01-04-24,"0.0,2"
01-05-24,"119.0,3"
01-06-24,"119.0,4"
01-07-24,"119.0,8"
01-08-24,"119.0,7"
01-09-24,"119.0,7"
01-10-24,"0.0,2"
01-11-24,"119.0,9"
01-12-24,"120.0,5"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,

