Kategorie: Alle Kategorien

Woche,Auto Leasing: (Deutschland)
2019-12-29,32
2020-01-05,37
2020-01-12,40
2020-01-19,39
2020-01-26,40
2020-02-02,40
2020-02-09,41
2020-02-16,41
2020-02-23,39
2020-03-01,38
2020-03-08,34
2020-03-15,21
2020-03-22,19
2020-03-29,24
2020-04-05,25
2020-04-12,28
2020-04-19,32
2020-04-26,33
2020-05-03,34
2020-05-10,38
2020-05-17,40
2020-05-24,39
2020-05-31,46
2020-06-07,47
2020-06-14,52
2020-06-21,46
2020-06-28,45
2020-07-05,45
2020-07-12,53
2020-07-19,51
2020-07-26,47
2020-08-02,46
2020-08-09,43
2020-08-16,48
2020-08-23,48
2020-08-30,45
2020-09-06,49
2020-09-13,46
2020-09-20,43
2020-09-27,43
2020-10-04,42
2020-10-11,44
2020-10-18,41
2020-10-25,37
2020-11-01,37
2020-11-08,42
2020-11-15,39
2020-11-22,40
2020-11-29,35
2020-12-06,30
2020-12-13,26
2020-12-20,30
2020-12-27,34
2021-01-03,39
2021-01-10,37
2021-01-17,36
2021-01-24,39
2021-01-31,40
2021-02-07,36
2021-02-14,44
2021-02-21,45
2021-02-28,53
2021-03-07,45
2021-03-14,48
2021-03-21,45
2021-03-28,43
2021-04-04,50
2021-04-11,46
2021-04-18,47
2021-04-25,43
2021-05-02,43
2021-05-09,49
2021-05-16,47
2021-05-23,44
2021-05-30,43
2021-06-06,44
2021-06-13,42
2021-06-20,48
2021-06-27,49
2021-07-04,52
2021-07-11,53
2021-07-18,52
2021-07-25,55
2021-08-01,53
2021-08-08,55
2021-08-15,58
2021-08-22,57
2021-08-29,58
2021-09-05,63
2021-09-12,56
2021-09-19,62
2021-09-26,59
2021-10-03,59
2021-10-10,68
2021-10-17,64
2021-10-24,67
2021-10-31,61
2021-11-07,56
2021-11-14,45
2021-11-21,43
2021-11-28,41
2021-12-05,44
2021-12-12,47
2021-12-19,45
2021-12-26,55
2022-01-02,56
2022-01-09,61
2022-01-16,57
2022-01-23,60
2022-01-30,60
2022-02-06,61
2022-02-13,60
2022-02-20,52
2022-02-27,59
2022-03-06,100
2022-03-13,80
2022-03-20,65
2022-03-27,59
2022-04-03,56
2022-04-10,49
2022-04-17,53
2022-04-24,54
2022-05-01,49
2022-05-08,52
2022-05-15,46
2022-05-22,46
2022-05-29,47
2022-06-05,51
2022-06-12,45
2022-06-19,48
2022-06-26,48
2022-07-03,48
2022-07-10,42
2022-07-17,47
2022-07-24,45
2022-07-31,45
2022-08-07,46
2022-08-14,43
2022-08-21,45
2022-08-28,51
2022-09-04,49
2022-09-11,45
2022-09-18,45
2022-09-25,42
2022-10-02,42
2022-10-09,42
2022-10-16,45
2022-10-23,45
2022-10-30,43
2022-11-06,41
2022-11-13,41
2022-11-20,40
2022-11-27,36
2022-12-04,35
2022-12-11,40
2022-12-18,39
2022-12-25,41
2023-01-01,44
2023-01-08,46
2023-01-15,45
2023-01-22,50
2023-01-29,51
2023-02-05,46
2023-02-12,46
2023-02-19,48
2023-02-26,46
2023-03-05,50
2023-03-12,50
2023-03-19,48
2023-03-26,49
2023-04-02,46
2023-04-09,52
2023-04-16,53
2023-04-23,52
2023-04-30,44
2023-05-07,47
2023-05-14,46
2023-05-21,44
2023-05-28,44
2023-06-04,46
2023-06-11,45
2023-06-18,42
2023-06-25,48
2023-07-02,48
2023-07-09,49
2023-07-16,49
2023-07-23,47
2023-07-30,48
2023-08-06,47
2023-08-13,53
2023-08-20,54
2023-08-27,52
2023-09-03,68
2023-09-10,71
2023-09-17,74
2023-09-24,66
2023-10-01,54
2023-10-08,52
2023-10-15,56
2023-10-22,52
2023-10-29,53
2023-11-05,53
2023-11-12,59
2023-11-19,54
2023-11-26,47
2023-12-03,50
2023-12-10,51
2023-12-17,45
2023-12-24,44
2023-12-31,46
2024-01-07,55
2024-01-14,57
2024-01-21,59
2024-01-28,57
2024-02-04,58
2024-02-11,57
2024-02-18,60
2024-02-25,50
2024-03-03,55
2024-03-10,58
2024-03-17,56
2024-03-24,52
2024-03-31,52
2024-04-07,49
2024-04-14,48
2024-04-21,58
2024-04-28,48
2024-05-05,45
2024-05-12,49
2024-05-19,49
2024-05-26,49
2024-06-02,47
2024-06-09,48
2024-06-16,46
2024-06-23,46
2024-06-30,46
2024-07-07,54
2024-07-14,47
2024-07-21,47
2024-07-28,45
2024-08-04,50
2024-08-11,53
2024-08-18,53
2024-08-25,52
2024-09-01,55
2024-09-08,53
2024-09-15,54
2024-09-22,57
2024-09-29,51
2024-10-06,52
2024-10-13,52
2024-10-20,53
2024-10-27,53
2024-11-03,51
2024-11-10,52
2024-11-17,50
2024-11-24,48
2024-12-01,46
2024-12-08,44
2024-12-15,45
2024-12-22,46
2024-12-29,46
