DATE,EURIBOR 3M
2020-01-31,-0.3911
2020-02-29,-0.4089
2020-03-31,-0.4166
2020-04-30,-0.2541
2020-05-31,-0.272
2020-06-30,-0.376
2020-07-31,-0.4441
2020-08-31,-0.4797
2020-09-30,-0.4914
2020-10-31,-0.5091
2020-11-30,-0.5209
2020-12-31,-0.5381
2021-01-31,-0.5472
2021-02-28,-0.5411
2021-03-31,-0.5391
2021-04-30,-0.5382
2021-05-31,-0.5401
2021-06-30,-0.5429
2021-07-31,-0.5448
2021-08-31,-0.5476
2021-09-30,-0.545
2021-10-31,-0.5498
2021-11-30,-0.5674
2021-12-31,-0.582
2022-01-31,-0.5601
2022-02-28,-0.5315
2022-03-31,-0.4954
2022-04-30,-0.4479
2022-05-31,-0.3857
2022-06-30,-0.2392
2022-07-31,0.0366
2022-08-31,0.3947
2022-09-30,1.0109
2022-10-31,1.4277
2022-11-30,1.8252
2022-12-31,2.0635
2023-01-31,2.3449
2023-02-28,2.6403
2023-03-31,2.9106
2023-04-30,3.167
2023-05-31,3.3664
2023-06-30,3.5359
2023-07-31,3.6718
2023-08-31,3.7803
2023-09-30,3.88
2023-10-31,3.9676
2023-11-30,3.9716
2023-12-31,3.9331
2024-01-31,3.9253
2024-02-29,3.9232
2024-03-31,3.9224
2024-04-30,3.8864
2024-05-31,3.8137
2024-06-30,3.7245
2024-07-31,3.6848
2024-08-31,3.5476
2024-09-30,3.4337
2024-10-31,3.1666
2024-11-30,3.0068
2024-12-31,2.8161
