DATE,Gebrauchtwagenindex
2020-01-31,118.6
2020-02-29,119.5
2020-03-31,119.4
2020-04-30,116.1
2020-05-31,114.7
2020-06-30,116.0
2020-07-31,120.5
2020-08-31,124.1
2020-09-30,126.4
2020-10-31,127.2
2020-11-30,125.4
2020-12-31,124.6
2021-01-31,122.3
2021-02-28,123.3
2021-03-31,126.0
2021-04-30,130.6
2021-05-31,133.5
2021-06-30,135.1
2021-07-31,136.5
2021-08-31,139.1
2021-09-30,144.6
2021-10-31,150.6
2021-11-30,156.6
2021-12-31,160.8
2022-01-31,161.0
2022-02-28,160.9
2022-03-31,160.3
2022-04-30,162.6
2022-05-31,165.4
2022-06-30,169.5
2022-07-31,171.6
2022-08-31,170.8
2022-09-30,168.3
2022-10-31,163.2
2022-11-30,156.7
2022-12-31,151.3
2023-01-31,149.3
2023-02-28,149.1
2023-03-31,150.9
2023-04-30,148.7
2023-05-31,148.3
2023-06-30,152.2
2023-07-31,148.2
2023-08-31,147.4
2023-09-30,148.0
2023-10-31,147.8
2023-11-30,146.6
2023-12-31,146.9
2024-01-31,142.0
2024-02-29,141.2
2024-03-31,137.3
2024-04-30,138.0
2024-05-31,137.9
2024-06-30,138.2
2024-07-31,137.0
2024-08-31,137.3
2024-09-30,136.8
2024-10-31,136.9
2024-11-30,137.2
2024-12-31,137.3
