DATE, Geschäftsklima,Geschäftslage,Geschäftserwartungen
2020-01-31,96.0,99.6,92.5
2020-02-29,95.9,99.0,93.0
2020-03-31,86.2,92.9,80.0
2020-04-30,75.0,79.3,71.0
2020-05-31,79.5,78.6,80.5
2020-06-30,85.4,80.9,90.1
2020-07-31,89.4,84.3,94.9
2020-08-31,92.1,87.7,96.8
2020-09-30,93.5,89.5,97.7
2020-10-31,93.0,90.5,95.5
2020-11-30,91.7,90.3,93.0
2020-12-31,93.1,91.8,94.5
2021-01-31,90.6,89.6,91.5
2021-02-28,92.7,91.1,94.4
2021-03-31,96.1,93.3,99.0
2021-04-30,96.0,94.2,97.8
2021-05-31,98.3,95.7,100.9
2021-06-30,101.0,99.8,102.2
2021-07-31,100.8,100.6,101.0
2021-08-31,100.2,101.7,98.7
2021-09-30,100.1,100.9,99.2
2021-10-31,98.8,100.6,97.1
2021-11-30,97.2,99.5,95.0
2021-12-31,95.2,97.3,93.1
2022-01-31,96.0,96.7,95.4
2022-02-28,98.6,99.0,98.1
2022-03-31,89.9,97.2,83.2
2022-04-30,91.2,97.4,85.5
2022-05-31,92.3,99.6,85.6
2022-06-30,92.1,99.4,85.4
2022-07-31,88.7,97.9,80.4
2022-08-31,89.3,97.7,81.5
2022-09-30,85.7,94.9,77.3
2022-10-31,85.4,94.5,77.2
2022-11-30,86.8,93.4,80.8
2022-12-31,89.1,94.3,84.2
2023-01-31,90.3,94.5,86.3
2023-02-28,91.1,94.2,88.0
2023-03-31,92.6,95.5,89.8
2023-04-30,92.9,95.1,90.8
2023-05-31,91.0,94.8,87.4
2023-06-30,88.3,93.7,83.3
2023-07-31,87.4,91.3,83.7
2023-08-31,85.9,88.9,83.0
2023-09-30,86.1,88.8,83.6
2023-10-31,87.0,89.2,84.9
2023-11-30,87.2,89.4,85.1
2023-12-31,86.6,88.6,84.7
2024-01-31,85.4,86.9,83.9
2024-02-29,85.8,87.0,84.7
2024-03-31,87.7,88.1,87.3
2024-04-30,89.1,88.9,89.3
2024-05-31,89.0,88.3,89.7
2024-06-30,88.4,88.2,88.5
2024-07-31,87.0,87.1,87.0
2024-08-31,86.6,86.4,86.9
2024-09-30,85.4,84.4,86.6
2024-10-31,86.5,85.6,87.4
2024-11-30,85.6,84.2,87.0
2024-12-31,84.7,85.0,84.4
