DATE,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
2020-01-31,4.561290322580645,-2.7,13.4,49.0,229.7741935483871,15.341935483870968,59.3,1021.0903225806452
2020-02-29,6.282758620689655,0.8,14.4,89.2,241.89655172413794,19.841379310344827,77.8,1009.951724137931
2020-03-31,5.719354838709678,-4.0,16.8,47.6,206.09677419354838,15.345161290322581,79.6,1017.7645161290322
2020-04-30,10.7,-2.0,23.0,7.7,202.03333333333333,13.520000000000001,50.0,1018.4566666666667
2020-05-31,12.293548387096775,0.6,24.1,26.9,233.83870967741936,13.419354838709678,46.3,1019.3290322580646
2020-06-30,18.759999999999998,9.0,29.8,53.3,168.5,12.653333333333334,50.0,1012.6866666666666
2020-07-31,17.98709677419355,9.8,28.3,46.699999999999996,252.32258064516128,12.058064516129033,59.3,1015.3451612903226
2020-08-31,21.154838709677417,11.4,34.6,37.5,180.70967741935485,11.896774193548387,66.7,1013.2806451612903
2020-09-30,15.42,5.9,30.3,44.8,204.16666666666666,10.916666666666666,50.0,1016.4866666666666
2020-10-31,11.112903225806452,3.8,21.7,70.0,191.1290322580645,13.651612903225805,53.7,1011.4548387096773
2020-11-30,7.193333333333333,0.5,18.8,10.3,207.83333333333334,12.893333333333334,53.7,1023.1733333333334
2020-12-31,3.541935483870968,-2.5,11.9,26.299999999999997,161.90322580645162,14.129032258064516,53.7,1009.241935483871
2021-01-31,0.9483870967741935,-5.6,11.4,63.5,220.5483870967742,13.261290322580646,53.7,1009.9741935483871
2021-02-28,1.3964285714285716,-12.7,19.2,44.4,204.89285714285714,13.049999999999999,61.1,1020.7285714285715
2021-03-31,5.361290322580645,-3.7,23.5,39.5,236.16129032258064,13.567741935483872,61.1,1019.7677419354839
2021-04-30,6.8133333333333335,-1.3,18.8,26.8,254.63333333333333,14.51,64.8,1017.58
2021-05-31,12.03225806451613,3.1,28.8,61.6,222.58064516129033,14.290322580645162,64.8,1010.9129032258064
2021-06-30,20.65,9.4,34.9,40.7,232.63333333333333,11.316666666666666,48.2,1017.0400000000001
2021-07-31,20.25483870967742,12.2,29.3,91.4,224.83870967741936,11.812903225806451,53.7,1013.9032258064516
2021-08-31,17.141935483870967,9.1,29.2,112.2,221.80645161290323,12.293548387096775,63.0,1014.1774193548387
2021-09-30,15.626666666666667,7.7,26.0,20.7,218.56666666666666,11.623333333333333,53.7,1018.61
2021-10-31,10.035483870967743,1.4,21.2,26.5,197.48387096774192,14.325806451612904,74.1,1018.2354838709678
2021-11-30,5.993333333333334,0.1,11.8,66.7,207.66666666666666,13.370000000000001,63.0,1014.45
2021-12-31,1.9193548387096775,-9.9,12.4,47.6,210.74193548387098,13.40967741935484,75.9,1014.2290322580644
2022-01-31,3.458064516129032,-3.1,11.7,37.2,247.41935483870967,16.67096774193548,85.2,1020.074193548387
2022-02-28,5.05,-2.1,11.7,73.4,237.75,20.482142857142858,85.2,1012.8464285714286
2022-03-31,5.525806451612904,-3.5,17.6,2.4,144.74193548387098,12.76774193548387,51.8,1027.3096774193548
2022-04-30,8.49,-2.6,20.9,32.0,161.46666666666667,15.270000000000001,70.4,1014.4133333333334
2022-05-31,15.167741935483871,6.5,29.1,20.2,223.58064516129033,13.470967741935485,61.1,1017.4967741935484
2022-06-30,20.477777777777778,9.2,33.9,0.0,184.33333333333334,11.816666666666666,46.3,1015.061111111111
2022-07-31,19.44193548387097,9.9,37.3,0.0,257.80645161290323,12.816129032258065,51.8,1018.6096774193549
2022-08-31,21.03548387096774,11.0,35.6,0.0,153.7741935483871,10.506451612903225,40.8,1017.167741935484
2022-09-30,13.543333333333333,4.3,23.6,0.0,193.26666666666668,12.376666666666667,51.8,1012.7
2022-10-31,12.325806451612904,3.4,22.8,0.0,217.58064516129033,12.493548387096775,48.2,1018.8451612903226
2022-11-30,5.8566666666666665,-4.4,16.1,0.0,176.4,13.243333333333334,50.0,1015.6666666666666
2022-12-31,1.7645161290322582,-8.6,15.6,0.0,189.8709677419355,12.941935483870967,50.0,1014.7290322580644
2023-01-31,4.280645161290322,-3.3,15.5,0.0,191.93548387096774,15.535483870967743,63.0,1014.7612903225806
2023-02-28,3.3892857142857147,-5.5,11.2,0.0,227.96428571428572,14.564285714285715,68.5,1024.4392857142857
2023-03-31,5.835483870967742,-3.6,17.1,0.0,215.19354838709677,14.458064516129031,53.7,1009.2709677419356
2023-04-30,8.21,-1.8,22.2,0.0,131.26666666666668,13.370000000000001,48.2,1017.1633333333334
2023-05-31,14.096774193548388,3.0,26.3,0.0,159.25806451612902,13.790322580645162,50.0,1020.7741935483871
2023-06-30,19.30666666666667,7.1,29.1,0.0,152.83333333333334,11.556666666666667,42.6,1017.1533333333333
2023-07-31,19.425806451612903,11.4,32.7,0.0,229.41935483870967,12.625806451612902,55.5,1011.8354838709678
2023-08-31,19.05483870967742,10.3,31.6,0.0,233.67741935483872,11.416129032258064,61.1,1012.7548387096774
2023-09-30,18.17,8.5,29.8,0.0,196.8,10.903333333333334,44.5,1017.6333333333333
2023-10-31,11.938709677419354,1.1,23.8,0.0,203.03225806451613,13.654838709677419,50.0,1010.1451612903226
2023-11-30,5.7733333333333325,-4.5,14.2,0.0,207.4,14.973333333333333,66.7,1004.9699999999999
2023-12-31,4.048387096774194,-4.7,11.0,0.0,207.16129032258064,16.358064516129033,77.8,1010.7903225806451
2024-01-31,1.9419354838709677,-9.0,10.7,0.0,206.6451612903226,16.67096774193548,72.2,1016.2096774193549
2024-02-29,7.165517241379311,-0.6,15.8,0.0,205.93103448275863,16.05862068965517,61.1,1010.4758620689655
