DATE,Absatzzahlen
2020-01-06,5598
2020-01-13,5523
2020-01-20,4675
2020-01-27,3884
2020-02-03,4013
2020-02-10,3584
2020-02-17,3838
2020-02-24,3412
2020-03-02,4344
2020-03-09,3979
2020-03-16,4177
2020-03-23,4884
2020-03-30,3333
2020-04-06,2780
2020-04-13,2405
2020-04-20,2634
2020-04-27,2527
2020-05-04,3785
2020-05-11,3570
2020-05-18,2982
2020-05-25,3591
2020-06-01,3207
2020-06-08,3121
2020-06-15,4059
2020-06-22,4207
2020-06-29,4334
2020-07-06,4998
2020-07-13,4879
2020-07-20,4672
2020-07-27,5227
2020-08-03,5166
2020-08-10,4072
2020-08-17,4313
2020-08-24,4022
2020-08-31,4594
2020-09-07,5150
2020-09-14,4787
2020-09-21,4578
2020-09-28,4959
2020-10-05,4911
2020-10-12,4886
2020-10-19,4585
2020-10-26,4451
2020-11-02,4241
2020-11-09,4713
2020-11-16,4760
2020-11-23,4223
2020-11-30,5000
2020-12-07,5984
2020-12-14,6028
2020-12-21,4298
2020-12-28,3821
2021-01-04,5230
2021-01-11,3830
2021-01-18,3345
2021-01-25,2918
2021-02-01,4113
2021-02-08,2882
2021-02-15,3194
2021-02-22,3271
2021-03-01,4229
2021-03-08,3872
2021-03-15,4659
2021-03-22,4520
2021-03-29,4341
2021-04-05,4717
2021-04-12,5121
2021-04-19,4857
2021-04-26,4685
2021-05-03,5157
2021-05-10,3684
2021-05-17,4743
2021-05-24,3590
2021-05-31,3831
2021-06-07,5124
2021-06-14,4954
2021-06-21,4970
2021-06-28,5360
2021-07-05,5210
2021-07-12,4692
2021-07-19,4204
2021-07-26,4346
2021-08-02,4431
2021-08-09,3937
2021-08-16,4025
2021-08-23,3444
2021-08-30,3833
2021-09-06,4022
2021-09-13,3654
2021-09-20,3677
2021-09-27,4176
2021-10-04,4302
2021-10-11,4128
2021-10-18,3692
2021-10-25,3917
2021-11-01,3910
2021-11-08,4131
2021-11-15,4143
2021-11-22,3776
2021-11-29,4342
2021-12-06,4565
2021-12-13,4888
2021-12-20,4712
2021-12-27,3079
2022-01-03,3630
2022-01-10,3307
2022-01-17,3591
2022-01-24,3405
2022-01-31,3211
2022-02-07,3653
2022-02-14,3406
2022-02-21,3422
2022-02-28,3565
2022-03-07,4154
2022-03-14,3760
2022-03-21,3784
2022-03-28,4344
2022-04-04,4322
2022-04-11,3081
2022-04-18,3258
2022-04-25,3642
2022-05-02,4292
2022-05-09,3797
2022-05-16,3822
2022-05-23,3113
2022-05-30,3934
2022-06-06,3639
2022-06-13,3632
2022-06-20,3880
2022-06-27,4415
2022-07-04,4510
2022-07-11,4089
2022-07-18,3504
2022-07-25,3482
2022-08-01,3457
2022-08-08,4254
2022-08-15,3384
2022-08-22,3201
2022-08-29,3456
2022-09-05,3368
2022-09-12,3164
2022-09-19,3194
2022-09-26,3586
2022-10-03,3100
2022-10-10,3359
2022-10-17,3533
2022-10-24,3498
2022-10-31,2905
2022-11-07,3877
2022-11-14,3751
2022-11-21,3796
2022-11-28,4093
2022-12-05,4242
2022-12-12,4306
2022-12-19,5002
2022-12-26,3233
2023-01-02,3102
2023-01-09,3119
2023-01-16,2678
2023-01-23,2508
2023-01-30,2572
2023-02-06,2772
2023-02-13,2854
2023-02-20,2533
2023-02-27,3087
2023-03-06,3300
2023-03-13,3367
2023-03-20,3314
2023-03-27,3752
2023-04-03,3338
2023-04-10,2632
2023-04-17,3345
2023-04-24,3365
2023-05-01,2898
2023-05-08,3078
2023-05-15,2923
2023-05-22,3267
2023-05-29,2808
2023-06-05,3476
2023-06-12,3425
2023-06-19,3469
2023-06-26,4472
2023-07-03,4650
2023-07-10,3688
2023-07-17,3657
2023-07-24,3569
2023-07-31,3650
2023-08-07,4072
2023-08-14,3407
2023-08-21,3336
2023-08-28,3800
2023-09-04,3667
2023-09-11,3283
2023-09-18,3153
2023-09-25,3586
2023-10-02,3054
2023-10-09,3109
2023-10-16,3584
2023-10-23,3504
2023-10-30,3235
2023-11-06,3675
2023-11-13,3875
2023-11-20,3651
2023-11-27,4157
2023-12-04,4537
2023-12-11,4987
2023-12-18,6544
2023-12-25,3315
2024-01-01,4312
2024-01-08,3267
2024-01-15,3132
2024-01-22,3037
2024-01-29,3057
2024-02-05,3003
2024-02-12,2917
2024-02-19,2937
2024-02-26,3218
2024-03-04,3602
2024-03-11,3698
2024-03-18,4030
2024-03-25,3760
2024-04-01,3991
2024-04-08,3836
2024-04-15,3573
2024-04-22,3690
2024-04-29,3094
2024-05-06,3284
2024-05-13,3457
2024-05-20,3161
2024-05-27,3366
2024-06-03,4126
2024-06-10,3854
2024-06-17,4370
2024-06-24,4202
2024-07-01,4585
2024-07-08,3989
2024-07-15,3934
2024-07-22,3642
2024-07-29,3631
2024-08-05,3709
2024-08-12,3071
2024-08-19,3269
2024-08-26,3453
2024-09-02,3728
2024-09-09,3219
2024-09-16,3494
2024-09-23,3835
2024-09-30,3278
2024-10-07,3894
2024-10-14,3553
2024-10-21,3454
2024-10-28,2956
2024-11-04,3984
2024-11-11,3762
2024-11-18,3650
2024-11-25,3797
2024-12-02,4870
2024-12-09,4413
2024-12-16,6497
2024-12-23,3433
