DATE, Geschäftsklima,Geschäftslage,Geschäftserwartungen
01-31-20,96.0,99.6,92.5
02-29-20,95.9,99.0,93.0
03-31-20,86.2,92.9,80.0
04-30-20,75.0,79.3,71.0
05-31-20,79.5,78.6,80.5
06-30-20,85.4,80.9,90.1
07-31-20,89.4,84.3,94.9
08-31-20,92.1,87.7,96.8
09-30-20,93.5,89.5,97.7
10-31-20,93.0,90.5,95.5
11-30-20,91.7,90.3,93.0
12-31-20,93.1,91.8,94.5
01-31-21,90.6,89.6,91.5
02-28-21,92.7,91.1,94.4
03-31-21,96.1,93.3,99.0
04-30-21,96.0,94.2,97.8
05-31-21,98.3,95.7,100.9
06-30-21,101.0,99.8,102.2
07-31-21,100.8,100.6,101.0
08-31-21,100.2,101.7,98.7
09-30-21,100.1,100.9,99.2
10-31-21,98.8,100.6,97.1
11-30-21,97.2,99.5,95.0
12-31-21,95.2,97.3,93.1
01-31-22,96.0,96.7,95.4
02-28-22,98.6,99.0,98.1
03-31-22,89.9,97.2,83.2
04-30-22,91.2,97.4,85.5
05-31-22,92.3,99.6,85.6
06-30-22,92.1,99.4,85.4
07-31-22,88.7,97.9,80.4
08-31-22,89.3,97.7,81.5
09-30-22,85.7,94.9,77.3
10-31-22,85.4,94.5,77.2
11-30-22,86.8,93.4,80.8
12-31-22,89.1,94.3,84.2
01-31-23,90.3,94.5,86.3
02-28-23,91.1,94.2,88.0
03-31-23,92.6,95.5,89.8
04-30-23,92.9,95.1,90.8
05-31-23,91.0,94.8,87.4
06-30-23,88.3,93.7,83.3
07-31-23,87.4,91.3,83.7
08-31-23,85.9,88.9,83.0
09-30-23,86.1,88.8,83.6
10-31-23,87.0,89.2,84.9
11-30-23,87.2,89.4,85.1
12-31-23,86.6,88.6,84.7
01-31-24,85.4,86.9,83.9
02-29-24,85.8,87.0,84.7
03-31-24,87.7,88.1,87.3
04-30-24,89.1,88.9,89.3
05-31-24,89.0,88.3,89.7
06-30-24,88.4,88.2,88.5
07-31-24,87.0,87.1,87.0
08-31-24,86.6,86.4,86.9
09-30-24,85.4,84.4,86.6
10-31-24,86.5,85.6,87.4
11-30-24,85.6,84.2,87.0
12-31-24,84.7,85.0,84.4
