DATE,Auto Leasing
2015-01,27
2015-02,27
2015-03,26
2015-04,25
2015-05,25
2015-06,26
2015-07,28
2015-08,28
2015-09,28
2015-10,27
2015-11,26
2015-12,24
2016-01,29
2016-02,30
2016-03,28
2016-04,31
2016-05,31
2016-06,28
2016-07,28
2016-08,30
2016-09,34
2016-10,31
2016-11,30
2016-12,26
2017-01,36
2017-02,37
2017-03,43
2017-04,40
2017-05,38
2017-06,38
2017-07,40
2017-08,38
2017-09,36
2017-10,38
2017-11,34
2017-12,29
2018-01,37
2018-02,41
2018-03,41
2018-04,37
2018-05,37
2018-06,38
2018-07,35
2018-08,39
2018-09,38
2018-10,43
2018-11,39
2018-12,37
2019-01,47
2019-02,55
2019-03,45
2019-04,44
2019-05,40
2019-06,42
2019-07,42
2019-08,42
2019-09,43
2019-10,47
2019-11,44
2019-12,37
2020-01,44
2020-02,46
2020-03,34
2020-04,37
2020-05,45
2020-06,66
2020-07,62
2020-08,54
2020-09,60
2020-10,50
2020-11,48
2020-12,38
2021-01,43
2021-02,50
2021-03,57
2021-04,59
2021-05,57
2021-06,53
2021-07,65
2021-08,69
2021-09,75
2021-10,86
2021-11,59
2021-12,57
2022-01,81
2022-02,72
2022-03,100
2022-04,70
2022-05,64
2022-06,58
2022-07,61
2022-08,55
2022-09,59
2022-10,54
2022-11,49
2022-12,46
2023-01,59
2023-02,58
2023-03,62
2023-04,62
2023-05,57
2023-06,55
2023-07,63
2023-08,65
2023-09,90
2023-10,70
2023-11,67
2023-12,56
2024-01,73
2024-02,73
2024-03,79
2024-04,62
2024-05,61
2024-06,58
2024-07,60
2024-08,62
2024-09,71
2024-10,63
2024-11,64
2024-12,53
2025-01,67
2025-02,75
2025-03,72
2025-04,65
2025-05,71
