DATE,Leasing
2015-01,44
2015-02,42
2015-03,43
2015-04,41
2015-05,39
2015-06,40
2015-07,39
2015-08,40
2015-09,38
2015-10,39
2015-11,42
2015-12,35
2016-01,40
2016-02,44
2016-03,42
2016-04,41
2016-05,43
2016-06,41
2016-07,42
2016-08,44
2016-09,46
2016-10,46
2016-11,47
2016-12,38
2017-01,53
2017-02,57
2017-03,66
2017-04,55
2017-05,51
2017-06,58
2017-07,56
2017-08,61
2017-09,54
2017-10,55
2017-11,51
2017-12,48
2018-01,57
2018-02,63
2018-03,63
2018-04,62
2018-05,55
2018-06,55
2018-07,57
2018-08,59
2018-09,60
2018-10,59
2018-11,59
2018-12,53
2019-01,67
2019-02,77
2019-03,71
2019-04,66
2019-05,64
2019-06,62
2019-07,64
2019-08,64
2019-09,72
2019-10,75
2019-11,71
2019-12,60
2020-01,74
2020-02,77
2020-03,54
2020-04,56
2020-05,75
2020-06,87
2020-07,89
2020-08,86
2020-09,88
2020-10,76
2020-11,70
2020-12,55
2021-01,65
2021-02,75
2021-03,88
2021-04,82
2021-05,78
2021-06,76
2021-07,82
2021-08,80
2021-09,90
2021-10,92
2021-11,71
2021-12,70
2022-01,86
2022-02,83
2022-03,100
2022-04,72
2022-05,69
2022-06,66
2022-07,62
2022-08,64
2022-09,65
2022-10,57
2022-11,55
2022-12,52
2023-01,67
2023-02,67
2023-03,68
2023-04,69
2023-05,67
2023-06,72
2023-07,69
2023-08,69
2023-09,85
2023-10,69
2023-11,72
2023-12,60
2024-01,73
2024-02,83
2024-03,80
2024-04,80
2024-05,75
2024-06,72
2024-07,78
2024-08,79
2024-09,78
2024-10,78
2024-11,76
2024-12,63
2025-01,83
2025-02,89
2025-03,90
2025-04,83
2025-05,87
