DATE,Beschäftigungsbarometer,Verarbeitendes Gewerbe,Bauhauptgewerbe,Handel,Dienstleistungssektor
2002-01-31,91.9,-23.7,-45.4,-21.6,2.0
2002-02-28,92.1,-21.5,-37.2,-22.9,1.5
2002-03-31,92.5,-22.1,-34.4,-19.9,1.9
2002-04-30,92.0,-19.4,-38.3,-22.9,0.1
2002-05-31,92.1,-20.2,-36.8,-22.6,0.8
2002-06-30,90.8,-19.3,-35.6,-25.7,-3.8
2002-07-31,89.9,-18.3,-37.2,-27.0,-7.0
2002-08-31,89.5,-19.5,-35.9,-26.8,-8.3
2002-09-30,91.0,-19.5,-32.7,-27.9,-2.7
2002-10-31,88.7,-21.2,-36.5,-28.7,-9.8
2002-11-30,89.9,-20.8,-40.8,-30.4,-4.8
2002-12-31,89.2,-22.4,-44.8,-34.7,-4.8
2003-01-31,89.9,-21.7,-46.2,-32.6,-3.0
2003-02-28,88.8,-19.5,-40.6,-32.9,-8.6
2003-03-31,89.7,-21.0,-39.8,-28.9,-5.7
2003-04-30,90.7,-19.2,-35.6,-26.9,-3.8
2003-05-31,88.4,-23.2,-36.4,-25.6,-11.2
2003-06-30,89.1,-22.4,-36.7,-25.7,-8.8
2003-07-31,90.3,-22.3,-37.1,-27.0,-4.0
2003-08-31,92.1,-19.6,-35.3,-23.8,0.7
2003-09-30,92.3,-19.7,-33.8,-20.9,0.3
2003-10-31,91.7,-18.5,-37.6,-21.7,-1.8
2003-11-30,92.6,-17.9,-35.4,-18.4,0.2
2003-12-31,92.0,-19.2,-39.2,-18.7,-0.8
2004-01-31,91.0,-17.7,-33.4,-16.6,-6.3
2004-02-29,92.0,-17.5,-31.9,-16.9,-3.0
2004-03-31,91.1,-17.8,-33.0,-17.9,-5.8
2004-04-30,91.4,-16.0,-32.6,-16.9,-5.8
2004-05-31,93.1,-15.3,-35.0,-14.6,-0.2
2004-06-30,91.9,-15.5,-32.8,-17.7,-3.8
2004-07-31,92.2,-15.3,-34.1,-17.0,-3.0
2004-08-31,92.4,-14.7,-35.6,-16.8,-2.3
2004-09-30,92.6,-12.7,-38.6,-14.8,-2.7
2004-10-31,93.4,-13.7,-37.9,-16.7,1.2
2004-11-30,93.2,-12.8,-36.0,-17.4,0.2
2004-12-31,92.8,-15.1,-39.4,-14.7,-0.8
2005-01-31,92.6,-15.6,-36.1,-13.6,-2.0
2005-02-28,93.1,-15.6,-36.1,-15.9,0.6
2005-03-31,92.5,-17.6,-35.0,-16.9,-0.8
2005-04-30,91.5,-17.9,-30.0,-14.8,-5.3
2005-05-31,92.7,-17.4,-28.3,-14.6,-1.2
2005-06-30,92.1,-15.6,-28.8,-12.7,-4.8
2005-07-31,93.3,-15.4,-28.2,-16.0,0.6
2005-08-31,92.0,-14.7,-27.5,-13.8,-5.3
2005-09-30,93.8,-12.8,-22.9,-11.8,-0.5
2005-10-31,94.9,-10.9,-23.4,-10.7,2.5
2005-11-30,93.7,-12.7,-25.3,-13.4,-0.2
2005-12-31,94.8,-10.9,-29.1,-10.7,2.6
2006-01-31,96.5,-10.5,-21.3,-6.6,7.0
2006-02-28,97.8,-9.6,-11.4,-3.9,9.6
2006-03-31,97.4,-7.5,-9.7,-7.9,8.2
2006-04-30,98.4,-7.8,-8.7,-3.9,10.7
2006-05-31,97.9,-7.5,-8.3,-7.6,9.8
2006-06-30,98.6,-5.6,-10.7,-4.7,11.2
2006-07-31,97.9,-5.4,-8.4,-6.0,8.6
2006-08-31,97.2,-3.7,-7.2,-4.8,4.7
2006-09-30,98.9,-1.6,-8.1,-1.9,9.5
2006-10-31,99.2,-0.1,-8.2,-0.7,9.4
2006-11-30,100.3,1.5,-7.0,-0.4,12.8
2006-12-31,100.3,3.2,-6.3,1.3,11.6
2007-01-31,100.6,5.5,-5.3,3.4,11.0
2007-02-28,100.6,4.4,-7.8,0.1,12.6
2007-03-31,101.0,6.4,-8.5,0.1,13.2
2007-04-30,99.9,4.1,-10.9,3.1,9.7
2007-05-31,100.1,5.3,-9.9,2.4,9.8
2007-06-30,100.6,6.3,-8.4,-0.7,12.2
2007-07-31,101.0,6.5,-9.5,-1.0,13.6
2007-08-31,101.1,6.4,-7.9,-0.8,13.7
2007-09-30,99.3,5.5,-9.2,-3.9,8.5
2007-10-31,99.8,3.8,-7.2,-5.7,11.4
2007-11-30,100.7,5.7,-9.0,-0.4,12.8
2007-12-31,99.3,8.3,-8.7,-4.7,7.6
2008-01-31,98.9,4.4,-6.3,-6.6,8.0
2008-02-29,100.1,3.4,-10.6,-3.9,12.6
2008-03-31,99.2,2.2,-10.2,-1.9,9.2
2008-04-30,99.1,1.2,-13.9,-2.9,9.7
2008-05-31,99.0,1.2,-6.2,-0.6,7.8
2008-06-30,98.1,-2.8,-8.2,-2.7,7.2
2008-07-31,97.2,-4.5,-8.3,-6.0,5.5
2008-08-31,95.8,-8.5,-11.7,-7.8,2.6
2008-09-30,95.0,-12.2,-11.5,-8.8,1.5
2008-10-31,93.4,-17.2,-14.2,-6.7,-2.5
2008-11-30,90.3,-26.2,-14.1,-14.4,-8.2
