Monat,BMW Leasing
2015-01,62
2015-02,61
2015-03,70
2015-04,64
2015-05,58
2015-06,60
2015-07,59
2015-08,61
2015-09,59
2015-10,60
2015-11,60
2015-12,55
2016-01,59
2016-02,66
2016-03,64
2016-04,63
2016-05,60
2016-06,55
2016-07,59
2016-08,60
2016-09,63
2016-10,62
2016-11,64
2016-12,53
2017-01,68
2017-02,81
2017-03,80
2017-04,71
2017-05,66
2017-06,68
2017-07,71
2017-08,71
2017-09,70
2017-10,66
2017-11,67
2017-12,62
2018-01,69
2018-02,75
2018-03,82
2018-04,77
2018-05,74
2018-06,70
2018-07,69
2018-08,74
2018-09,74
2018-10,83
2018-11,78
2018-12,74
2019-01,85
2019-02,89
2019-03,81
2019-04,81
2019-05,75
2019-06,68
2019-07,78
2019-08,80
2019-09,85
2019-10,85
2019-11,87
2019-12,73
2020-01,85
2020-02,90
2020-03,61
2020-04,66
2020-05,86
2020-06,96
2020-07,100
2020-08,94
2020-09,89
2020-10,85
2020-11,76
2020-12,71
2021-01,74
2021-02,80
2021-03,85
2021-04,81
2021-05,72
2021-06,71
2021-07,80
2021-08,80
2021-09,91
2021-10,90
2021-11,73
2021-12,73
2022-01,90
2022-02,85
2022-03,77
2022-04,66
2022-05,63
2022-06,56
2022-07,54
2022-08,55
2022-09,54
2022-10,54
2022-11,47
2022-12,46
2023-01,57
2023-02,62
2023-03,61
2023-04,58
2023-05,58
2023-06,55
2023-07,53
2023-08,61
2023-09,70
2023-10,66
2023-11,58
2023-12,57
2024-01,66
2024-02,73
2024-03,74
2024-04,75
2024-05,68
2024-06,66
2024-07,65
2024-08,70
2024-09,72
2024-10,75
2024-11,69
2024-12,62
2025-01,80
2025-02,85
2025-03,96
2025-04,85
2025-05,78
