"Berichtsmonat";"Bestand Arbeitslose";"Zugang Arbeitslose";"Abgang Arbeitslose";"Arbeitslosenquote"
"April 2025";"2.931.550";"562.010";"597.530";"6,3"
"März 2025";"2.967.080";"577.380";"599.530";"6,4"
"Februar 2025";"2.989.220";"585.600";"589.050";"6,4"
"Januar 2025";"2.992.660";"625.980";"439.960";"6,4"
"Dezember 2024";"2.806.630";"562.260";"529.670";"6,0"
"November 2024";"2.774.030";"554.830";"571.350";"5,9"
"Oktober 2024";"2.790.530";"614.150";"629.990";"6,0"
"September 2024";"2.806.360";"536.900";"602.450";"6,0"
"August 2024";"2.871.910";"591.370";"528.180";"6,1"
"Juli 2024";"2.808.720";"639.110";"556.970";"6,0"
"Juni 2024";"2.726.570";"501.830";"497.800";"5,8"
"Mai 2024";"2.722.550";"530.150";"557.170";"5,8"
"April 2024";"2.749.580";"594.500";"614.220";"6,0"
"März 2024";"2.769.280";"544.550";"589.090";"6,0"
"Februar 2024";"2.813.810";"579.240";"570.810";"6,1"
"Januar 2024";"2.805.380";"633.170";"464.430";"6,1"
"Dezember 2023";"2.636.730";"557.170";"526.200";"5,7"
"November 2023";"2.605.730";"552.180";"553.570";"5,6"
"Oktober 2023";"2.607.120";"547.140";"567.130";"5,7"
"September 2023";"2.627.100";"519.570";"588.300";"5,7"
"August 2023";"2.695.830";"608.750";"530.110";"5,8"
"Juli 2023";"2.617.190";"557.300";"495.040";"5,7"
"Juni 2023";"2.554.980";"512.780";"501.520";"5,5"
"Mai 2023";"2.543.740";"480.070";"521.980";"5,5"
"April 2023";"2.585.680";"554.070";"562.160";"5,7"
"März 2023";"2.593.770";"511.820";"538.220";"5,7"
"Februar 2023";"2.620.170";"578.700";"574.510";"5,7"
"Januar 2023";"2.616.020";"570.110";"407.920";"5,7"
"Dezember 2022";"2.453.880";"524.930";"505.060";"5,4"
"November 2022";"2.434.020";"531.660";"539.980";"5,3"
