Woche,BMW
2017-12-31,16
2018-01-07,18
2018-01-14,19
2018-01-21,20
2018-01-28,19
2018-02-04,19
2018-02-11,18
2018-02-18,20
2018-02-25,21
2018-03-04,21
2018-03-11,21
2018-03-18,20
2018-03-25,21
2018-04-01,21
2018-04-08,20
2018-04-15,19
2018-04-22,21
2018-04-29,20
2018-05-06,20
2018-05-13,19
2018-05-20,19
2018-05-27,19
2018-06-03,19
2018-06-10,19
2018-06-17,19
2018-06-24,19
2018-07-01,19
2018-07-08,20
2018-07-15,19
2018-07-22,19
2018-07-29,19
2018-08-05,18
2018-08-12,19
2018-08-19,19
2018-08-26,18
2018-09-02,19
2018-09-09,19
2018-09-16,19
2018-09-23,20
2018-09-30,21
2018-10-07,20
2018-10-14,20
2018-10-21,19
2018-10-28,19
2018-11-04,20
2018-11-11,19
2018-11-18,18
2018-11-25,17
2018-12-02,18
2018-12-09,17
2018-12-16,18
2018-12-23,17
2018-12-30,16
2019-01-06,17
2019-01-13,17
2019-01-20,18
2019-01-27,18
2019-02-03,19
2019-02-10,19
2019-02-17,21
2019-02-24,20
2019-03-03,20
2019-03-10,20
2019-03-17,21
2019-03-24,21
2019-03-31,21
2019-04-07,21
2019-04-14,20
2019-04-21,20
2019-04-28,20
2019-05-05,20
2019-05-12,20
2019-05-19,20
2019-05-26,20
2019-06-02,19
2019-06-09,17
2019-06-16,20
2019-06-23,19
2019-06-30,20
2019-07-07,20
2019-07-14,20
2019-07-21,18
2019-07-28,18
2019-08-04,18
2019-08-11,20
2019-08-18,29
2019-08-25,47
2019-09-01,100
2019-09-08,86
2019-09-15,91
2019-09-22,59
2019-09-29,19
2019-10-06,19
2019-10-13,18
2019-10-20,19
2019-10-27,18
2019-11-03,18
2019-11-10,19
2019-11-17,17
2019-11-24,17
2019-12-01,17
2019-12-08,16
2019-12-15,16
2019-12-22,17
2019-12-29,17
2020-01-05,17
2020-01-12,17
2020-01-19,18
2020-01-26,18
2020-02-02,18
2020-02-09,17
2020-02-16,18
2020-02-23,17
2020-03-01,20
2020-03-08,17
2020-03-15,15
2020-03-22,13
2020-03-29,15
2020-04-05,17
2020-04-12,17
2020-04-19,17
2020-04-26,17
2020-05-03,17
2020-05-10,19
2020-05-17,21
2020-05-24,21
2020-05-31,21
2020-06-07,20
2020-06-14,19
2020-06-21,19
2020-06-28,18
2020-07-05,19
2020-07-12,21
2020-07-19,20
2020-07-26,19
2020-08-02,18
2020-08-09,18
2020-08-16,19
2020-08-23,18
2020-08-30,19
2020-09-06,19
2020-09-13,18
2020-09-20,21
2020-09-27,19
2020-10-04,18
2020-10-11,18
2020-10-18,17
2020-10-25,16
2020-11-01,15
2020-11-08,19
2020-11-15,18
2020-11-22,16
2020-11-29,16
2020-12-06,16
2020-12-13,14
2020-12-20,16
2020-12-27,15
2021-01-03,15
2021-01-10,15
2021-01-17,15
2021-01-24,15
2021-01-31,16
2021-02-07,14
2021-02-14,17
2021-02-21,19
2021-02-28,18
2021-03-07,18
2021-03-14,18
2021-03-21,18
2021-03-28,19
2021-04-04,18
2021-04-11,17
2021-04-18,18
2021-04-25,18
2021-05-02,16
2021-05-09,18
2021-05-16,16
2021-05-23,16
2021-05-30,18
2021-06-06,17
2021-06-13,16
2021-06-20,17
2021-06-27,17
2021-07-04,18
2021-07-11,17
2021-07-18,17
2021-07-25,17
2021-08-01,17
2021-08-08,17
2021-08-15,17
2021-08-22,17
2021-08-29,17
2021-09-05,18
2021-09-12,17
2021-09-19,17
2021-09-26,16
2021-10-03,17
2021-10-10,17
2021-10-17,17
2021-10-24,17
2021-10-31,17
2021-11-07,16
2021-11-14,16
2021-11-21,14
2021-11-28,15
2021-12-05,15
2021-12-12,15
2021-12-19,15
2021-12-26,16
