Woche,BMW Leasing
2020-12-27,76
2021-01-03,78
2021-01-10,68
2021-01-17,74
2021-01-24,80
2021-01-31,80
2021-02-07,69
2021-02-14,82
2021-02-21,85
2021-02-28,85
2021-03-07,87
2021-03-14,83
2021-03-21,85
2021-03-28,85
2021-04-04,81
2021-04-11,76
2021-04-18,76
2021-04-25,80
2021-05-02,75
2021-05-09,77
2021-05-16,71
2021-05-23,68
2021-05-30,71
2021-06-06,69
2021-06-13,68
2021-06-20,72
2021-06-27,69
2021-07-04,83
2021-07-11,82
2021-07-18,85
2021-07-25,76
2021-08-01,81
2021-08-08,79
2021-08-15,74
2021-08-22,84
2021-08-29,84
2021-09-05,93
2021-09-12,94
2021-09-19,87
2021-09-26,99
2021-10-03,89
2021-10-10,91
2021-10-17,91
2021-10-24,83
2021-10-31,85
2021-11-07,82
2021-11-14,71
2021-11-21,58
2021-11-28,65
2021-12-05,66
2021-12-12,75
2021-12-19,78
2021-12-26,84
2022-01-02,83
2022-01-09,92
2022-01-16,86
2022-01-23,96
2022-01-30,84
2022-02-06,92
2022-02-13,88
2022-02-20,78
2022-02-27,77
2022-03-06,85
2022-03-13,73
2022-03-20,82
2022-03-27,65
2022-04-03,63
2022-04-10,65
2022-04-17,71
2022-04-24,64
2022-05-01,62
2022-05-08,64
2022-05-15,59
2022-05-22,65
2022-05-29,57
2022-06-05,55
2022-06-12,57
2022-06-19,60
2022-06-26,53
2022-07-03,57
2022-07-10,50
2022-07-17,61
2022-07-24,52
2022-07-31,53
2022-08-07,56
2022-08-14,54
2022-08-21,61
2022-08-28,55
2022-09-04,49
2022-09-11,56
2022-09-18,54
2022-09-25,52
2022-10-02,53
2022-10-09,56
2022-10-16,54
2022-10-23,58
2022-10-30,56
2022-11-06,57
2022-11-13,52
2022-11-20,41
2022-11-27,44
2022-12-04,48
2022-12-11,44
2022-12-18,50
2022-12-25,46
2023-01-01,54
2023-01-08,58
2023-01-15,58
2023-01-22,57
2023-01-29,61
2023-02-05,67
2023-02-12,60
2023-02-19,59
2023-02-26,64
2023-03-05,60
2023-03-12,65
2023-03-19,65
2023-03-26,61
2023-04-02,58
2023-04-09,55
2023-04-16,61
2023-04-23,60
2023-04-30,58
2023-05-07,59
2023-05-14,58
2023-05-21,62
2023-05-28,60
2023-06-04,59
2023-06-11,56
2023-06-18,56
2023-06-25,56
2023-07-02,55
2023-07-09,54
2023-07-16,53
2023-07-23,58
2023-07-30,58
2023-08-06,60
2023-08-13,57
2023-08-20,67
2023-08-27,60
2023-09-03,67
2023-09-10,67
2023-09-17,68
2023-09-24,75
2023-10-01,64
2023-10-08,66
2023-10-15,68
2023-10-22,64
2023-10-29,64
2023-11-05,61
2023-11-12,54
2023-11-19,57
2023-11-26,52
2023-12-03,58
2023-12-10,62
2023-12-17,54
2023-12-24,59
2023-12-31,53
2024-01-07,61
2024-01-14,70
2024-01-21,69
2024-01-28,80
2024-02-04,74
2024-02-11,73
2024-02-18,73
2024-02-25,69
2024-03-03,74
2024-03-10,70
2024-03-17,80
2024-03-24,74
2024-03-31,71
2024-04-07,69
2024-04-14,72
2024-04-21,77
2024-04-28,75
2024-05-05,68
2024-05-12,74
2024-05-19,72
2024-05-26,64
2024-06-02,71
2024-06-09,62
2024-06-16,62
2024-06-23,69
2024-06-30,60
2024-07-07,70
2024-07-14,69
2024-07-21,67
2024-07-28,65
2024-08-04,65
2024-08-11,67
2024-08-18,70
2024-08-25,78
2024-09-01,70
2024-09-08,75
2024-09-15,74
2024-09-22,71
2024-09-29,66
2024-10-06,75
2024-10-13,75
2024-10-20,83
2024-10-27,76
2024-11-03,71
2024-11-10,72
2024-11-17,72
2024-11-24,61
2024-12-01,58
2024-12-08,62
2024-12-15,59
2024-12-22,73
2024-12-29,63
2025-01-05,76
2025-01-12,86
2025-01-19,87
2025-01-26,87
2025-02-02,92
2025-02-09,83
2025-02-16,89
2025-02-23,82
2025-03-02,83
2025-03-09,100
2025-03-16,96
2025-03-23,100
2025-03-30,83
2025-04-06,79
2025-04-13,90
2025-04-20,81
2025-04-27,73
2025-05-04,75
2025-05-11,80
2025-05-18,86
