Woche,leasing
2014-12-28,41
2015-01-04,52
2015-01-11,56
2015-01-18,63
2015-01-25,59
2015-02-01,57
2015-02-08,57
2015-02-15,55
2015-02-22,57
2015-03-01,60
2015-03-08,67
2015-03-15,59
2015-03-22,62
2015-03-29,55
2015-04-05,57
2015-04-12,59
2015-04-19,57
2015-04-26,53
2015-05-03,57
2015-05-10,59
2015-05-17,54
2015-05-24,54
2015-05-31,51
2015-06-07,60
2015-06-14,59
2015-06-21,55
2015-06-28,52
2015-07-05,52
2015-07-12,58
2015-07-19,57
2015-07-26,55
2015-08-02,56
2015-08-09,58
2015-08-16,56
2015-08-23,55
2015-08-30,56
2015-09-06,57
2015-09-13,55
2015-09-20,57
2015-09-27,59
2015-10-04,56
2015-10-11,54
2015-10-18,56
2015-10-25,58
2015-11-01,59
2015-11-08,58
2015-11-15,59
2015-11-22,60
2015-11-29,52
2015-12-06,54
2015-12-13,53
2015-12-20,47
2015-12-27,44
2016-01-03,47
2016-01-10,56
2016-01-17,61
2016-01-24,57
2016-01-31,55
2016-02-07,56
2016-02-14,63
2016-02-21,63
2016-02-28,58
2016-03-06,58
2016-03-13,56
2016-03-20,52
2016-03-27,57
2016-04-03,51
2016-04-10,69
2016-04-17,59
2016-04-24,57
2016-05-01,61
2016-05-08,55
2016-05-15,58
2016-05-22,57
2016-05-29,59
2016-06-05,54
2016-06-12,53
2016-06-19,55
2016-06-26,57
2016-07-03,57
2016-07-10,53
2016-07-17,56
2016-07-24,59
2016-07-31,61
2016-08-07,57
2016-08-14,62
2016-08-21,60
2016-08-28,61
2016-09-04,65
2016-09-11,63
2016-09-18,66
2016-09-25,60
2016-10-02,59
2016-10-09,68
2016-10-16,62
2016-10-23,62
2016-10-30,61
2016-11-06,58
2016-11-13,61
2016-11-20,60
2016-11-27,54
2016-12-04,58
2016-12-11,54
2016-12-18,53
2016-12-25,52
2017-01-01,53
2017-01-08,67
2017-01-15,77
2017-01-22,77
2017-01-29,71
2017-02-05,73
2017-02-12,71
2017-02-19,70
2017-02-26,68
2017-03-05,86
2017-03-12,84
2017-03-19,88
2017-03-26,84
2017-04-02,73
2017-04-09,69
2017-04-16,69
2017-04-23,81
2017-04-30,68
2017-05-07,71
2017-05-14,66
2017-05-21,64
2017-05-28,65
2017-06-04,68
2017-06-11,74
2017-06-18,75
2017-06-25,74
2017-07-02,72
2017-07-09,75
2017-07-16,76
2017-07-23,69
2017-07-30,75
2017-08-06,77
2017-08-13,74
2017-08-20,76
2017-08-27,77
2017-09-03,77
2017-09-10,75
2017-09-17,75
2017-09-24,66
2017-10-01,69
2017-10-08,63
2017-10-15,78
2017-10-22,76
2017-10-29,64
2017-11-05,70
2017-11-12,73
2017-11-19,71
2017-11-26,70
2017-12-03,62
2017-12-10,59
2017-12-17,57
2017-12-24,58
2017-12-31,60
2018-01-07,75
2018-01-14,76
2018-01-21,85
2018-01-28,84
2018-02-04,81
2018-02-11,77
2018-02-18,88
2018-02-25,100
2018-03-04,92
2018-03-11,89
2018-03-18,88
2018-03-25,79
2018-04-01,73
2018-04-08,84
2018-04-15,92
2018-04-22,87
2018-04-29,78
2018-05-06,69
2018-05-13,76
2018-05-20,76
2018-05-27,72
2018-06-03,92
2018-06-10,77
2018-06-17,72
2018-06-24,70
2018-07-01,73
2018-07-08,77
2018-07-15,78
2018-07-22,73
2018-07-29,75
2018-08-05,80
2018-08-12,79
2018-08-19,77
2018-08-26,76
2018-09-02,79
2018-09-09,78
2018-09-16,82
2018-09-23,78
2018-09-30,78
2018-10-07,82
2018-10-14,80
2018-10-21,81
2018-10-28,77
2018-11-04,79
2018-11-11,82
2018-11-18,83
2018-11-25,77
2018-12-02,71
2018-12-09,67
2018-12-16,66
2018-12-23,69
2018-12-30,67
