DATE, Geschäftsklima,Geschäftslage,Geschäftserwartungen,Konjunkturampel
 01/2005,92.2,87.4,97.2,83.1
 02/2005,92.0,88.0,96.2,50.4
 03/2005,90.1,85.9,94.5,4.9
 04/2005,89.9,86.3,93.7,18.7
 05/2005,89.3,86.1,92.7,11.7
 06/2005,89.3,85.6,93.2,32.1
 07/2005,91.1,85.8,96.8,91.2
 08/2005,92.0,86.7,97.6,96.0
 09/2005,92.9,88.3,97.7,96.7
 10/2005,94.4,88.7,100.4,99.4
 11/2005,94.9,90.7,99.3,96.7
 12/2005,95.0,90.3,100.0,91.1
 01/2006,96.5,91.8,101.5,98.2
 02/2006,97.7,93.3,102.3,98.9
 03/2006,98.1,94.2,102.1,95.3
 04/2006,97.9,94.2,101.8,91.4
 05/2006,98.9,96.9,100.8,97.1
 06/2006,99.0,96.8,101.4,94.5
 07/2006,98.8,97.5,100.2,79.2
 08/2006,98.7,97.3,100.1,75.3
 09/2006,99.0,98.0,100.1,85.2
 10/2006,99.4,98.8,100.0,90.0
 11/2006,100.8,100.0,101.6,98.0
 12/2006,101.8,101.3,102.3,98.0
 01/2007,101.5,100.1,102.9,87.7
 02/2007,100.1,98.9,101.3,26.4
 03/2007,100.8,99.9,101.6,62.9
 04/2007,101.1,100.8,101.3,85.4
 05/2007,101.1,100.5,101.8,88.6
 06/2007,99.9,98.9,100.9,45.7
 07/2007,100.2,99.2,101.1,51.9
 08/2007,99.8,99.1,100.6,41.0
 09/2007,99.3,98.9,99.7,29.3
 10/2007,99.8,99.7,100.0,57.8
 11/2007,98.7,98.7,98.7,16.7
 12/2007,98.8,97.8,99.8,21.3
 01/2008,98.2,98.7,97.6,19.2
 02/2008,98.2,98.9,97.5,26.1
 03/2008,98.2,99.1,97.3,31.8
 04/2008,97.1,98.5,95.7,26.2
 05/2008,96.8,97.9,95.6,17.4
 06/2008,95.7,97.0,94.3,7.2
 07/2008,92.4,93.7,91.1,0.2
 08/2008,91.5,93.4,89.7,2.3
 09/2008,91.2,92.2,90.1,7.9
 10/2008,87.1,90.5,83.8,0.0
 11/2008,84.3,87.3,81.5,0.2
 12/2008,80.9,82.5,79.3,0.1
 01/2009,81.7,82.1,81.3,29.4
 02/2009,81.4,80.1,82.7,21.7
 03/2009,79.7,77.5,82.0,5.4
 04/2009,81.5,78.4,84.8,78.4
 05/2009,82.0,77.7,86.6,86.8
 06/2009,83.8,77.8,90.1,99.5
 07/2009,85.1,78.6,92.1,98.0
 08/2009,87.5,80.2,95.5,99.8
 09/2009,89.3,81.2,98.2,99.7
 10/2009,89.5,81.7,98.1,93.2
 11/2009,90.8,82.9,99.5,98.6
 12/2009,91.0,83.9,98.7,93.5
 01/2010,90.7,83.9,97.9,80.6
 02/2010,90.7,84.5,97.4,76.5
 03/2010,92.2,85.4,99.6,96.8
 04/2010,95.5,90.3,101.1,100.0
 05/2010,95.5,90.9,100.4,96.4
 06/2010,96.2,92.3,100.3,97.3
 07/2010,98.5,94.9,102.2,99.8
 08/2010,99.8,96.0,103.7,98.8
 09/2010,100.6,97.9,103.5,96.5
 10/2010,101.8,98.8,104.8,99.2
 11/2010,103.4,100.8,106.1,99.4
 12/2010,103.0,100.4,105.6,85.7
 01/2011,101.6,99.7,103.6,27.4
 02/2011,102.6,102.1,103.1,70.8
 03/2011,102.2,101.9,102.4,53.3
 04/2011,102.2,102.7,101.7,72.4
 05/2011,102.5,103.6,101.5,81.4
 06/2011,101.9,102.5,101.3,60.2
 07/2011,102.2,103.1,101.3,82.0
 08/2011,99.6,102.1,97.1,4.4
